Date,Amount,Name,Category
2020-05-18,34,LIGHTHOUSE ROASTERS HTTPSLIGHTHOUWA,Food and Drink,Restaurants
2020-05-18,15.31,Mighty-o Donuts,Food and Drink,Restaurants,Donuts
2020-05-18,19.8,Printful, Inc.,Service
2020-05-18,-40.4,REI.COM,Shops,Sporting Goods
2020-05-18,-22.02,REI.COM,Shops,Sporting Goods
2020-05-18,41.34,SEATTLE FISH GUYS,Food and Drink,Restaurants
2020-05-18,14.99,Spotify,Service,Subscription
2020-05-18,33.63,THAIKU,Food and Drink,Restaurants
2020-05-16,8.99,Netflix,Service,Subscription
2020-05-16,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-15,35.73,SHIKU SUSHI,Food and Drink,Restaurants
2020-05-14,9.26,CAFFE UMBRIA BALLARD AVE,Food and Drink,Restaurants
2020-05-13,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-12,33.02,Amazon,Shops,Digital Purchase
2020-05-11,44.99,Comcast,Service,Cable
2020-05-11,60.77,Costco,Shops,Warehouses and Wholesale Stores
2020-05-11,24.44,Costco Gas,Travel,Gas Stations
2020-05-11,5.7,HONORE BAKERY,Shops,Food and Beverage Store
2020-05-11,44.42,Kedai Makan,Food and Drink,Restaurants,Asian
2020-05-11,26.23,Marketime Foods,Food and Drink,Restaurants
2020-05-11,1.77,ONLINE ORDER HANDLING,Shops,Hardware Store
2020-05-11,4,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-11,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-11,6,Prairie Perks Llc,Food and Drink,Restaurants
2020-05-11,27.81,UNEEDA BUR* UNEEDA BUR STRIPE.COM,Food and Drink,Restaurants
2020-05-11,35,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-05-11,9.7,WSFERRIES-CLINTON,Travel,Public Transportation Services
2020-05-09,15.99,Netflix,Service,Subscription
2020-05-09,30.85,ROSELLINIS,Food and Drink,Restaurants
2020-05-09,77.08,SP * PTULA ACTIVEWEAR HTTPSPTULAACTOH,Shops,Clothing and Accessories
2020-05-08,9.99,Spotify,Service,Subscription
2020-05-07,52.86,Trader Joe's,Shops,Supermarkets and Groceries
2020-05-05,6.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-05,8.3,Stoneway Hardware,Service,Home Improvement,Hardware and Services
2020-05-05,50.29,TST* AL BASHA MEDITERRANESEATTLE,Food and Drink,Restaurants
2020-05-04,29.44,7-Eleven,Shops,Convenience Stores
2020-05-04,132.9,CONSERVICE, LLC,Service
2020-05-04,239.46,Costco,Shops,Warehouses and Wholesale Stores
2020-05-04,35,India Bistro,Food and Drink,Restaurants
2020-05-04,10.28,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-05-04,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-05-04,37.63,SEATTLE FISH GUYS,Food and Drink,Restaurants
2020-05-04,31.4,The DISH,Food and Drink,Restaurants
2020-05-02,0.2,Etsy Inc Seller Fees,Shops,Digital Purchase
2020-05-02,40,KARAAGE SETSUNA,Food and Drink,Restaurants
2020-05-02,156.06,SEATTLE CITY LIGHT,Community,Government Departments and Agencies
2020-05-01,-2461.3,Online payment from CHK 2760,Transfer,Deposit
2020-05-01,-16.46,Online payment from CHK 2760,Transfer,Deposit
2020-05-01,29.2,ROSELLINIS,Food and Drink,Restaurants
2020-04-30,86.64,SMART FOODSERVICE 562,Shops,Warehouses and Wholesale Stores
2020-04-30,100.06,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-04-29,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-28,16.94,MACPHERSON'S FRUIT AND PRSEATTLE,Shops,Food and Beverage Store
2020-04-28,10.6,PCC - FREMONT,Shops,Supermarkets and Groceries
2020-04-28,36.93,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-04-27,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-27,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-27,40,THAI ON 1,Food and Drink,Restaurants
2020-04-27,9.33,TST* GENERAL PORPOISE 1 -SEATTLE,Food and Drink,Restaurants
2020-04-27,29.08,TST* RED STAR TACO BAR,Food and Drink,Restaurants
2020-04-24,-10.59,3FC9731957A,Transfer,Third Party,PayPal
2020-04-24,88.06,Amazon,Shops,Digital Purchase
2020-04-24,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-23,10.59,3FC9731957A,Transfer,Third Party,PayPal
2020-04-23,31.31,ARASHI RAMEN BALLARD,Food and Drink,Restaurants
2020-04-23,-8.99,Netflix,Service,Subscription
2020-04-23,9.91,Netflix,Service,Subscription
2020-04-22,49.78,99 RANCH #1792,Shops,Supermarkets and Groceries
2020-04-22,13.2,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-22,113.06,Trader Joe's,Shops,Supermarkets and Groceries
2020-04-21,1.85,Google Cloud Storage,Service,Business Services
2020-04-21,40.4,REI.COM,Shops,Sporting Goods
2020-04-20,128.89,GEICO,Service,Insurance
2020-04-20,45.46,LIGHTHOUSE ROASTERS HTTPSLIGHTHOUWA,Food and Drink,Restaurants
2020-04-20,18.51,Manolin,Food and Drink,Restaurants,American
2020-04-20,2.99,PCC - BALLARD,Shops,Supermarkets and Groceries
2020-04-20,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-20,16.5,Prime Video*4J3VU0FW3,Service,Subscription
2020-04-20,20.75,SEA WOLF LLC,Food and Drink,Restaurants
2020-04-20,57.46,SEATTLE FISH GUYS,Food and Drink,Restaurants
2020-04-18,14.99,Spotify,Service,Subscription
2020-04-18,39,The Monkey Bridge,Food and Drink,Restaurants
2020-04-17,16.46,Audible,Shops,Digital Purchase
2020-04-17,22.02,REI.COM,Shops,Sporting Goods
2020-04-16,-15.84,Amazon.com Amzn.com/billWA,Shops,Digital Purchase
2020-04-14,30,GOOD2GOREPLENISH,Food and Drink,Restaurants
2020-04-14,260.28,REI.COM,Shops,Sporting Goods
2020-04-14,120.04,Trader Joe's,Shops,Supermarkets and Groceries
2020-04-14,27.47,UNEEDA BUR* UNEEDA BUR STRIPE.COM,Food and Drink,Restaurants
2020-04-14,36.93,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-04-13,3.75,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-13,3.75,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-13,31.13,The DISH,Food and Drink,Restaurants
2020-04-11,38.03,THAI ON 1,Food and Drink,Restaurants
2020-04-10,44.99,Comcast,Service,Cable
2020-04-10,107.96,Costco,Shops,Warehouses and Wholesale Stores
2020-04-10,8.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-09,15.84,Amazon.com*Z53XW3SM3 Amzn.com/billWA,Shops,Digital Purchase
2020-04-09,8.99,Netflix,Service,Subscription
2020-04-09,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-09,27.9,The Boar's Nest,Food and Drink,Restaurants
2020-04-08,8.99,Netflix,Service,Subscription
2020-04-08,7.5,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-07,-300,Online payment from CHK 2760,Transfer,Deposit
2020-04-07,3.75,PIM BICYCLES & COFFEEWOODINVILLE,Shops,Bicycles
2020-04-07,10.25,SEA WOLF LLC,Food and Drink,Restaurants
2020-04-06,31.63,7-Eleven,Shops,Convenience Stores
2020-04-06,396.3,AMAZON.COM*SD4BF8BX3 AMZNAMZN.COM/BILLWA,Shops,Digital Purchase
2020-04-06,66.05,NINTENDO *AMERICAUS,Service,Entertainment
2020-04-06,28.1,The DISH,Food and Drink,Restaurants
2020-04-04,40,THAI ON 1,Food and Drink,Restaurants
2020-04-03,22.01,JTFA LLC,Food and Drink,Restaurants
2020-04-03,35,VERAS PIZZA & BAR,Food and Drink,Restaurants
2020-04-02,5.49,APPLE.COM/BILL,Shops,Digital Purchase
2020-04-02,228.86,CONSERVICE, LLC,Service
2020-04-02,10.7,FREMONT COFFEE COMPANY,Food and Drink,Restaurants,Coffee Shop
2020-04-02,-64.96,REI.COM,Shops,Sporting Goods
2020-04-01,-5500,Online payment from CHK 2760,Transfer,Deposit
2020-04-01,-32.92,Online payment from CHK 2760,Transfer,Deposit
2020-03-31,22.45,Ht Oaktree Market,Shops,Food and Beverage Store
2020-03-31,139.59,TMOBILE*AUTO PAY,Service,Telecommunication Services
2020-03-30,23.43,Amazon.com*GM4JH6IM3 Amzn.com/billWA,Shops,Digital Purchase
2020-03-30,32.52,Billy Beach Sushi And Bar,Food and Drink,Restaurants
2020-03-30,159.13,Home Depot,Shops,Hardware Store
2020-03-30,12.25,SEA WOLF LLC,Food and Drink,Restaurants
2020-03-30,9.9,SMART FOODSERVICE 562,Shops,Warehouses and Wholesale Stores
2020-03-28,11,Amazon,Shops,Digital Purchase
